MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
sp|P05019|IGF1_HUMAN	sp|P08069|IGF1R_HUMAN	1e-05	30	0.91401994498


Distance Matrix QUERY1

gi|124263|sp|P05019.1|IGF1_HUM	0
sp|P05019|IGF1_HUMAN	0.0	0
gi|124262|sp|P08025.3|IGF1_RAT	0.06241331484049928	0.06241331484049928	0
gi|56405309|sp|P05017.2|IGF1_M	0.07212205270457694	0.07212205270457694	0.01118881118881121	0
gi|124251|sp|P16545.1|IGF1_PIG	0.029126213592232997	0.029126213592232997	0.07242339832869082	0.0821727019498607	0
gi|124247|sp|P07455.2|IGF1_BOV	0.04438280166435504	0.04438280166435504	0.08647140864714087	0.09623430962343094	0.01810584958217265	0
gi|124248|sp|P17647.1|IGF1_CAV	0.04040404040404044	0.04040404040404044	0.07912457912457915	0.09243697478991597	0.050761421319796995	0.06429780033840948	0
gi|124249|sp|P18254.1|IGF1_CHI	0.15193370165745856	0.15193370165745856	0.20856353591160226	0.21823204419889508	0.16160220994475138	0.17679558011049723	0.1580698835274542	0
gi|90110718|sp|P16501.2|IGF1A_	0.3198031980319803	0.3198031980319803	0.2978142076502732	0.3073770491803278	0.2581967213114754	0.27322404371584696	0.22570016474464583	0.19808743169398912	0
	gi|124263|sp|P05019.1|IGF1_HUM	sp|P05019|IGF1_HUMAN	gi|124262|sp|P08025.3|IGF1_RAT	gi|56405309|sp|P05017.2|IGF1_M	gi|124251|sp|P16545.1|IGF1_PIG	gi|124247|sp|P07455.2|IGF1_BOV	gi|124248|sp|P17647.1|IGF1_CAV	gi|124249|sp|P18254.1|IGF1_CHI	gi|90110718|sp|P16501.2|IGF1A_



Distance Matrix QUERY2

gi|124240|sp|P08069.1|IGF1R_HU	0
sp|P08069|IGF1R_HUMAN	0.0	0
gi|21431568|sp|Q29000.2|IGF1R_	0.014056224899598346	0.014056224899598346	0
gi|2497545|sp|Q05688.1|IGF1R_B	0.018106262986049226	0.018106262986049226	0.015075376884422065	0
gi|12644455|sp|Q60751.3|IGF1R_	0.03426706554256187	0.03426706554256187	0.019038076152304573	0.029934795494961475	0
gi|2827762|sp|P24062.2|IGF1R_R	0.03366039792859088	0.03366039792859088	0.019038076152304573	0.029770765108663277	0.0023079011675264383	0
gi|82123385|sp|O73798.1|IGF1R_	0.22771452374340462	0.22771452374340462	0.3658291457286432	0.20939276099312	0.23403960670267276	0.23275145469659186	0
gi|124908|sp|P14617.1|INSRR_CA	0.42316855270994636	0.42316855270994636	0.4963503649635036	0.3662464985994398	0.4274253454167286	0.42695794323079206	0.4595770211489425	0
gi|57013873|sp|P08941.3|ROS1_C	0.6283185840707964	0.6283185840707964	0.9259259259259259	0.6277013752455796	0.6263467189030363	0.625920471281296	0.6117125984251969	0.6156496062992126	0
	gi|124240|sp|P08069.1|IGF1R_HU	sp|P08069|IGF1R_HUMAN	gi|21431568|sp|Q29000.2|IGF1R_	gi|2497545|sp|Q05688.1|IGF1R_B	gi|12644455|sp|Q60751.3|IGF1R_	gi|2827762|sp|P24062.2|IGF1R_R	gi|82123385|sp|O73798.1|IGF1R_	gi|124908|sp|P14617.1|INSRR_CA	gi|57013873|sp|P08941.3|ROS1_C
