MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
sp|P31749|AKT1_HUMAN	sp|P49815|TSC2_HUMAN	1e-05	30	0.904433514262


Distance Matrix QUERY1

gi|60391226|sp|P31749.2|AKT1_H	0
sp|P31749|AKT1_HUMAN	0.0	0
gi|341940204|sp|P31750.2|AKT1_	0.01607843137254905	0.01607843137254905	0
gi|1346401|sp|P47196.1|AKT1_RA	0.0168627450980392	0.0168627450980392	0.004315417810906275	0
gi|75016125|sp|Q8INB9.3|AKT1_D	0.3440643863179075	0.3440643863179075	0.3432715551974215	0.3412570507655117	0
gi|1709606|sp|P36582.2|PCK1_SC	0.4803439803439803	0.4803439803439803	0.47510755992624465	0.47510755992624465	0.48189073050951503	0
gi|82238262|sp|Q6U1I9.1|SGK1_C	0.5020219526285384	0.5020219526285384	0.49451184286539573	0.49451184286539573	0.4729493891797557	0.5306122448979591	0
gi|82241281|sp|Q7ZTW4.1|SGK1_D	0.5082715345122647	0.5082715345122647	0.5008556759840274	0.5008556759840274	0.48235974551764027	0.5433312845728334	0.07228229937393282	0
gi|1730069|sp|P54644.1|KRAC_DI	0.5665943600867679	0.5665943600867679	0.5681423611111112	0.5681423611111112	0.5733683749452475	0.5427509293680297	0.47971781305114636	0.48774795799299886	0
	gi|60391226|sp|P31749.2|AKT1_H	sp|P31749|AKT1_HUMAN	gi|341940204|sp|P31750.2|AKT1_	gi|1346401|sp|P47196.1|AKT1_RA	gi|75016125|sp|Q8INB9.3|AKT1_D	gi|1709606|sp|P36582.2|PCK1_SC	gi|82238262|sp|Q6U1I9.1|SGK1_C	gi|82241281|sp|Q7ZTW4.1|SGK1_D	gi|1730069|sp|P54644.1|KRAC_DI



Distance Matrix QUERY2

gi|269849475|sp|P49815.2|TSC2_	0
sp|P49815|TSC2_HUMAN	0.0	0
gi|1717800|sp|P49816.1|TSC2_RA	0.0855821954628535	0.0855821954628535	0
gi|9297076|sp|Q61037.1|TSC2_MO	0.10725043029259895	0.10725043029259895	0.04974804331510663	0
gi|62287828|sp|Q9UUG9.1|TSC2_S	0.6252019386106624	0.6252019386106624	0.6239804241435563	0.6809006211180124	0
gi|82081855|sp|Q5ZJY3.1|GARL3_	0.7352517985611511	0.7352517985611511	0.7359307359307359	0.7378223495702005	0.752906976744186	0
gi|162416109|sp|A5PF44.1|GARL3	0.7611510791366907	0.7611510791366907	0.7619047619047619	0.7636103151862464	0.7747093023255813	0.11030478955007261	0
gi|74876104|sp|Q75J96.1|RGAP1_	0.7546239210850801	0.7546239210850801	0.75625	0.7614906832298136	0.8168316831683169	0.4193548387096774	0.4384164222873901	0
gi|74868143|sp|Q9VB98.2|Y5521_	0.8887580929958799	0.8887580929958799	0.8835294117647059	0.9039580908032596	0.8333333333333334	0.7762557077625571	0.7738998482549317	0.7992376111817027	0
	gi|269849475|sp|P49815.2|TSC2_	sp|P49815|TSC2_HUMAN	gi|1717800|sp|P49816.1|TSC2_RA	gi|9297076|sp|Q61037.1|TSC2_MO	gi|62287828|sp|Q9UUG9.1|TSC2_S	gi|82081855|sp|Q5ZJY3.1|GARL3_	gi|162416109|sp|A5PF44.1|GARL3	gi|74876104|sp|Q75J96.1|RGAP1_	gi|74868143|sp|Q9VB98.2|Y5521_
