MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
sp|P00734|THRB_HUMAN	sp|P05067|A4_HUMAN	1e-05	30	0.488770538513


Distance Matrix QUERY1

gi|135807|sp|P00734.2|THRB_HUM	0
sp|P00734|THRB_HUMAN	0.0	0
gi|122144690|sp|Q19AZ8.1|THRB_	0.14733727810650887	0.14733727810650887	0
gi|135806|sp|P00735.2|THRB_BOV	0.16686390532544382	0.16686390532544382	0.1299200947025747	0
gi|135808|sp|P19221.1|THRB_MOU	0.17214814814814816	0.17214814814814816	0.17923691215616677	0.21295474711623785	0
gi|135809|sp|P18292.1|THRB_RAT	0.18241430700447092	0.18241430700447092	0.19101457899434693	0.22047009818506402	0.05433491686460812	0
gi|48429258|sp|Q28278.2|PROC_C	0.5769828926905132	0.5769828926905132	0.5869056897895557	0.5944055944055944	0.5852713178294573	0.58996138996139	0
gi|60392244|sp|Q6SA95.1|FA9_FE	0.6299524564183836	0.6299524564183836	0.6301587301587301	0.6308300395256917	0.6240126382306477	0.6341463414634146	0.6452648475120385	0
gi|38372173|sp|Q95ND7.1|FA9_PA	0.635499207606973	0.635499207606973	0.6341269841269841	0.6316205533596838	0.6255924170616114	0.6357199055861527	0.6318327974276527	0.11075697211155378	0
gi|119771|sp|P16295.1|FA9_CAVP	0.6193910256410257	0.6193910256410257	0.6160642570281125	0.618705035971223	0.610223642172524	0.6178343949044586	0.6459525756336877	0.14020950846091862	0.12439418416801296	0
gi|114063|sp|P14417.1|APOA_MAC	0.7170769831965611	0.7170769831965611	0.7299726455646738	0.7143415396639312	0.718408736349454	0.7202032043767097	0.7276422764227642	0.6969949916527546	0.6953255425709516	0.6956889264581572	0
	gi|135807|sp|P00734.2|THRB_HUM	sp|P00734|THRB_HUMAN	gi|122144690|sp|Q19AZ8.1|THRB_	gi|135806|sp|P00735.2|THRB_BOV	gi|135808|sp|P19221.1|THRB_MOU	gi|135809|sp|P18292.1|THRB_RAT	gi|48429258|sp|Q28278.2|PROC_C	gi|60392244|sp|Q6SA95.1|FA9_FE	gi|38372173|sp|Q95ND7.1|FA9_PA	gi|119771|sp|P16295.1|FA9_CAVP	gi|114063|sp|P14417.1|APOA_MAC



Distance Matrix QUERY2

gi|30172731|sp|Q60495.2|A4_CAV	0
gi|410591579|sp|P86906.1|A4_FE	0.019138755980861233	0
gi|2492498|sp|Q28280.1|A4_CANF	0.0	0.019138755980861233	0
gi|2492497|sp|Q28053.1|A4_BOVI	0.0	0.019138755980861233	0.0	0
sp|P05067|A4_HUMAN	0.026840679635557696	0.019138755980861233	0.0	0.0	0
gi|112927|sp|P05067.3|A4_HUMAN	0.026840679635557696	0.019138755980861233	0.0	0.0	0.0	0
gi|61211285|sp|Q5IS80.1|A4_PAN	0.025855700566362994	0.019138755980861233	0.0	0.0	0.0009857072449482862	0.0009857072449482862	0
gi|30179764|sp|P79307.2|A4_PIG	0.02462447672986945	0.019138755980861233	0.0	0.0	0.01897486446525387	0.01897486446525387	0.017989157220305585	0
gi|30581015|sp|P12023.3|A4_MOU	0.03373553311992117	0.10576923076923073	0.0662020905923345	0.06506849315068497	0.03326761951700341	0.03326761951700341	0.032281912272055235	0.025628388368654553	0
gi|112930|sp|P08592.2|A4_RAT	0.029795616843142136	0.10576923076923073	0.0662020905923345	0.06506849315068497	0.029817644159684575	0.029817644159684575	0.02883193691473629	0.019960571710202046	0.006899950714637781	0
gi|112928|sp|P29216.1|A4_MACMU	0.9459459459459459	0.8869565217391304	0.940809968847352	0.9476923076923077	0.9459459459459459	0.9459459459459459	0.9459459459459459	0.9459459459459459	0.9540540540540541	0.9540540540540541	0
	gi|30172731|sp|Q60495.2|A4_CAV	gi|410591579|sp|P86906.1|A4_FE	gi|2492498|sp|Q28280.1|A4_CANF	gi|2492497|sp|Q28053.1|A4_BOVI	sp|P05067|A4_HUMAN	gi|112927|sp|P05067.3|A4_HUMAN	gi|61211285|sp|Q5IS80.1|A4_PAN	gi|30179764|sp|P79307.2|A4_PIG	gi|30581015|sp|P12023.3|A4_MOU	gi|112930|sp|P08592.2|A4_RAT	gi|112928|sp|P29216.1|A4_MACMU
