MirrorTree 1.0
QUERY1	QUERY2	E-VALUE	IDENTITY	PEARSON_CORR
sp|P11169|GTR3_HUMAN	sp|P14672|GTR4_HUMAN	1e-05	30	0.895902242547


Distance Matrix QUERY1

gi|121760|sp|P11169.1|GTR3_HUM	0
sp|P11169|GTR3_HUMAN	0.0	0
gi|68565451|sp|Q5R608.1|GTR3_P	0.0035714285714285587	0.0035714285714285587	0
gi|1346212|sp|P47843.1|GTR3_SH	0.12817460317460316	0.12817460317460316	0.13095238095238093	0
gi|17366301|sp|P58352.1|GTR3_B	0.13005551149881045	0.13005551149881045	0.13283108643933383	0.011895321173671647	0
gi|1346211|sp|P47842.1|GTR3_CA	0.10318725099601589	0.10318725099601589	0.10597609561752985	0.08849206349206351	0.09119746233148296	0
gi|585228|sp|Q07647.1|GTR3_RAT	0.15138165798958747	0.15138165798958747	0.15298358029635561	0.15812650120096072	0.15959999999999996	0.13515687851971037	0
gi|399833|sp|P32037.1|GTR3_MOU	0.1501802162595114	0.1501802162595114	0.15178213856627953	0.14851881505204167	0.15000000000000002	0.13078470824949695	0.041232986389111326	0
gi|17367243|sp|Q9XSC2.1|GTR3_R	0.16141732283464572	0.16141732283464572	0.1648622047244095	0.15897939156035323	0.1570166830225711	0.1487889273356401	0.16083916083916083	0.1458541458541458	0
gi|121759|sp|P28568.1|GTR3_CHI	0.24523713011755166	0.24523713011755166	0.24807458451560604	0.23365617433414043	0.23669354838709677	0.23452768729641693	0.26320098239869016	0.25429975429975427	0.25655241935483875	0
gi|677286723|sp|P20303.2|GTR1_	0.3202641353693768	0.3202641353693768	0.32178217821782173	0.31552999178307317	0.3173234811165846	0.3105872622001654	0.32079371641174037	0.3174668874172185	0.322463768115942	0.2506265664160401	0
gi|613505051|sp|Q8IRI6.4|GTR1_	0.49731071576334296	0.49731071576334296	0.4981381878361605	0.4733140256516343	0.473727761688043	0.4861398427803062	0.48290241868223516	0.48582151793160966	0.48699643039265683	0.4720833333333333	0.46895973154362414	0
gi|68566443|sp|Q863Y9.1|GTR5_H	0.5888157894736843	0.5888157894736843	0.5904605263157895	0.5877300613496932	0.5888843481814467	0.5797280593325093	0.593192195931922	0.5798668885191347	0.5867768595041323	0.5904166666666666	0.5644555694618273	0.5962886597938144	0
gi|74958755|sp|O44827.2|FGT1_C	0.590561224489796	0.590561224489796	0.5918367346938775	0.5861922914019484	0.5897544453852668	0.5807823129251701	0.6084183673469388	0.602891156462585	0.5987124463519313	0.5952890792291221	0.5999149659863945	0.5572160546541418	0.6222504230118444	0
gi|117940139|sp|Q56ZZ7.2|PLST4	0.7208672086720866	0.7208672086720866	0.7205417607223477	0.7112010796221322	0.7115902964959568	0.706787330316742	0.698822463768116	0.6972310485701316	0.6962233169129721	0.7159247361174851	0.7192743764172336	0.7162769784172662	0.7276459854014599	0.7276034561164166	0
gi|33518615|sp|P46333.3|CSBC_B	0.7255269320843092	0.7255269320843092	0.7270599250936329	0.7221445221445222	0.7265952491849093	0.7228745890089243	0.7156954887218046	0.7148235294117646	0.7113980909601347	0.7130641330166271	0.7151600753295668	0.7216014897579144	0.754957507082153	0.7487107360525083	0.6507633587786259	0
